date,ticker,price
2024-01-01,AAPL,150.15897280274385
2024-01-02,AAPL,149.55430626742782
2024-01-03,AAPL,149.67337682421774
2024-01-04,AAPL,148.46162969887902
2024-01-05,AAPL,148.92887204755175
2024-01-06,AAPL,148.59777870184024
2024-01-07,AAPL,149.02601753026084
2024-01-08,AAPL,147.73567082606763
2024-01-09,AAPL,148.12767259045688
2024-01-10,AAPL,145.82947061444324
2024-01-11,AAPL,145.7156206678495
2024-01-12,AAPL,145.9843497729364
2024-01-13,AAPL,147.2299484546819
2024-01-14,AAPL,148.40372559492604
2024-01-15,AAPL,148.89711296325382
2024-01-16,AAPL,148.24321401095833
2024-01-17,AAPL,148.1578987401481
2024-01-18,AAPL,148.6176736273468
2024-01-19,AAPL,148.68762005601513
2024-01-20,AAPL,148.24687374979038
